output_area,lsoa,iomd_rank,iomd_decile
D010010000000,D01001,366,9
D010020000000,D01002,265,7
D010030000000,D01003,374,9
D010040000000,D01004,395,10
D010510011011,D01051,381,10
D010510044044,D01051,381,10
D010515163003,D01051,381,10
D010515163010,D01051,381,10
D010515163012,D01051,381,10
D010515163016,D01051,381,10
D010515163022,D01051,381,10
D010515163024,D01051,381,10
D010515163026,D01051,381,10
D010515163032,D01051,381,10
D010515163037,D01051,381,10
D010515163051,D01051,381,10
D010515163064,D01051,381,10
D010515163089,D01051,381,10
D010515163097,D01051,381,10
D010515163110,D01051,381,10
D010515166021,D01051,381,10
D010515166034,D01051,381,10
D010515166046,D01051,381,10
D010515166057,D01051,381,10
D010515166062,D01051,381,10
D010515166072,D01051,381,10
D010515166073,D01051,381,10
D010515166076,D01051,381,10
D010515166077,D01051,381,10
D010515166090,D01051,381,10
D010515166103,D01051,381,10
D010515166118,D01051,381,10
D010515166119,D01051,381,10
D010515169005,D01051,381,10
D010515169008,D01051,381,10
D010515169019,D01051,381,10
D010515169020,D01051,381,10
D010515169023,D01051,381,10
D010515169030,D01051,381,10
D010515169035,D01051,381,10
D010515169036,D01051,381,10
D010515169038,D01051,381,10
D010515169047,D01051,381,10
D010515169049,D01051,381,10
D010515169052,D01051,381,10
D010515169053,D01051,381,10
D010515169058,D01051,381,10
D010515169060,D01051,381,10
D010515169061,D01051,381,10
D010515169065,D01051,381,10
D010515169068,D01051,381,10
D010515169071,D01051,381,10
D010515169080,D01051,381,10
D010515169088,D01051,381,10
D010515169092,D01051,381,10
D010515169096,D01051,381,10
D010515169100,D01051,381,10
D010515169102,D01051,381,10
D010515169114,D01051,381,10
D010515169117,D01051,381,10
D010515169120,D01051,381,10
D010515169125,D01051,381,10
D010515169131,D01051,381,10
D010515169133,D01051,381,10
D010515169136,D01051,381,10
D010515169139,D01051,381,10
D010515169141,D01051,381,10
D010515172048,D01051,381,10
D010515172067,D01051,381,10
D010515172069,D01051,381,10
D010515172075,D01051,381,10
D010515172081,D01051,381,10
D010515172082,D01051,381,10
D010515172087,D01051,381,10
D010515172107,D01051,381,10
D010515172113,D01051,381,10
D010515172122,D01051,381,10
D010515172130,D01051,381,10
D010515175001,D01051,381,10
D010515175002,D01051,381,10
D010515175004,D01051,381,10
D010515175006,D01051,381,10
D010515175015,D01051,381,10
D010515175017,D01051,381,10
D010515175027,D01051,381,10
D010515175028,D01051,381,10
D010515175039,D01051,381,10
D010515175054,D01051,381,10
D010515175063,D01051,381,10
D010515175074,D01051,381,10
D010515175078,D01051,381,10
D010515175083,D01051,381,10
D010515175085,D01051,381,10
D010515175086,D01051,381,10
D010515175098,D01051,381,10
D010515175099,D01051,381,10
D010515175104,D01051,381,10
D010515175126,D01051,381,10
D010515175134,D01051,381,10
D010515175135,D01051,381,10
D010515175137,D01051,381,10
D010515175138,D01051,381,10
D010515178013,D01051,381,10
D010515178014,D01051,381,10
D010515178033,D01051,381,10
D010515178043,D01051,381,10
D010515178045,D01051,381,10
D010515178050,D01051,381,10
D010515178079,D01051,381,10
D010515178084,D01051,381,10
D010515178093,D01051,381,10
D010515178105,D01051,381,10
D010515178108,D01051,381,10
D010515178109,D01051,381,10
D010515178121,D01051,381,10
D010515178127,D01051,381,10
D010515178128,D01051,381,10
D010515178129,D01051,381,10
D010515178132,D01051,381,10
D010515178140,D01051,381,10
D010530032032,D01053,224,6
D010530083083,D01053,224,6
D010530090090,D01053,224,6
D010530100100,D01053,224,6
D010530116116,D01053,224,6
D010530129129,D01053,224,6
D010535308008,D01053,224,6
D010535308009,D01053,224,6
D010535308011,D01053,224,6
D010535308024,D01053,224,6
D010535308034,D01053,224,6
D010535308061,D01053,224,6
D010535308067,D01053,224,6
D010535308075,D01053,224,6
D010535308094,D01053,224,6
D010535308103,D01053,224,6
D010535308120,D01053,224,6
D010535313002,D01053,224,6
D010535313005,D01053,224,6
D010535313013,D01053,224,6
D010535313014,D01053,224,6
D010535313037,D01053,224,6
D010535313056,D01053,224,6
D010535313084,D01053,224,6
D010535313095,D01053,224,6
D010535313113,D01053,224,6
D010535313125,D01053,224,6
D010535313134,D01053,224,6
D010535318010,D01053,224,6
D010535318015,D01053,224,6
D010535318020,D01053,224,6
D010535318029,D01053,224,6
D010535318035,D01053,224,6
D010535318046,D01053,224,6
D010535318048,D01053,224,6
D010535318064,D01053,224,6
D010535318080,D01053,224,6
D010535318092,D01053,224,6
D010535318104,D01053,224,6
D010535318115,D01053,224,6
D010535318119,D01053,224,6
D010535318126,D01053,224,6
D010535318132,D01053,224,6
D010535323003,D01053,224,6
D010535323012,D01053,224,6
D010535323023,D01053,224,6
D010535323028,D01053,224,6
D010535323050,D01053,224,6
D010535323053,D01053,224,6
D010535323072,D01053,224,6
D010535323131,D01053,224,6
D010535323133,D01053,224,6
D010535323135,D01053,224,6
D010535343006,D01053,224,6
D010535343019,D01053,224,6
D010535343022,D01053,224,6
D010535343058,D01053,224,6
D010535343073,D01053,224,6
D010535343074,D01053,224,6
D010535343082,D01053,224,6
D010535343087,D01053,224,6
D010535343111,D01053,224,6
D010535343128,D01053,224,6
D010535358001,D01053,224,6
D010535358004,D01053,224,6
D010535358016,D01053,224,6
D010535358018,D01053,224,6
D010535358026,D01053,224,6
D010535358030,D01053,224,6
D010535358033,D01053,224,6
D010535358040,D01053,224,6
D010535358041,D01053,224,6
D010535358043,D01053,224,6
D010535358051,D01053,224,6
D010535358054,D01053,224,6
D010535358057,D01053,224,6
D010535358062,D01053,224,6
D010535358066,D01053,224,6
D010535358078,D01053,224,6
D010535358088,D01053,224,6
D010535358093,D01053,224,6
D010535358098,D01053,224,6
D010535358102,D01053,224,6
D010535358107,D01053,224,6
D010535358110,D01053,224,6
D010535358117,D01053,224,6
D010535358123,D01053,224,6
D010535358136,D01053,224,6
D010535373007,D01053,224,6
D010535373017,D01053,224,6
D010535373021,D01053,224,6
D010535373027,D01053,224,6
D010535373031,D01053,224,6
D010535373036,D01053,224,6
D010535373042,D01053,224,6
D010535373045,D01053,224,6
D010535373047,D01053,224,6
D010535373049,D01053,224,6
D010535373052,D01053,224,6
D010535373059,D01053,224,6
D010535373060,D01053,224,6
D010535373070,D01053,224,6
D010535373071,D01053,224,6
D010535373076,D01053,224,6
D010535373089,D01053,224,6
D010535373091,D01053,224,6
D010535373106,D01053,224,6
D010535391025,D01053,224,6
D010535391038,D01053,224,6
D010535391039,D01053,224,6
D010535391044,D01053,224,6
D010535391068,D01053,224,6
D010535391069,D01053,224,6
D010535391077,D01053,224,6
D010535391079,D01053,224,6
D010535391081,D01053,224,6
D010535391085,D01053,224,6
D010535391086,D01053,224,6
D010535391096,D01053,224,6
D010535391097,D01053,224,6
D010535391099,D01053,224,6
D010535391101,D01053,224,6
D010535391108,D01053,224,6
D010535391109,D01053,224,6
D010535391112,D01053,224,6
D010535391114,D01053,224,6
D010535391118,D01053,224,6
D010535391121,D01053,224,6
D010535391122,D01053,224,6
D010535391124,D01053,224,6
D010535391127,D01053,224,6
D010535391130,D01053,224,6
D010539105105,D01053,224,6
D010540033033,D01054,319,8
D010540056056,D01054,319,8
D010540108108,D01054,319,8
D010540138138,D01054,319,8
D010540168168,D01054,319,8
D010545417035,D01054,319,8
D010545417036,D01054,319,8
D010545417040,D01054,319,8
D010545417063,D01054,319,8
D010545417072,D01054,319,8
D010545417090,D01054,319,8
D010545417095,D01054,319,8
D010545417100,D01054,319,8
D010545417104,D01054,319,8
D010545417113,D01054,319,8
D010545417134,D01054,319,8
D010545417135,D01054,319,8
D010545417140,D01054,319,8
D010545417145,D01054,319,8
D010545417148,D01054,319,8
D010545417150,D01054,319,8
D010545439046,D01054,319,8
D010545439061,D01054,319,8
D010545439078,D01054,319,8
D010545439149,D01054,319,8
D010545453003,D01054,319,8
D010545453004,D01054,319,8
D010545453011,D01054,319,8
D010545453013,D01054,319,8
D010545453041,D01054,319,8
D010545453057,D01054,319,8
D010545453079,D01054,319,8
D010545453092,D01054,319,8
D010545453101,D01054,319,8
D010545453118,D01054,319,8
D010545453123,D01054,319,8
D010545453144,D01054,319,8
D010545453152,D01054,319,8
D010545459039,D01054,319,8
D010545459050,D01054,319,8
D010545459074,D01054,319,8
D010545459103,D01054,319,8
D010545488005,D01054,319,8
D010545488015,D01054,319,8
D010545488025,D01054,319,8
D010545488083,D01054,319,8
D010545488085,D01054,319,8
D010545488087,D01054,319,8
D010545488089,D01054,319,8
D010545488094,D01054,319,8
D010545488098,D01054,319,8
D010545488129,D01054,319,8
D010545488143,D01054,319,8
D010545488158,D01054,319,8
D010545488160,D01054,319,8
D010545488163,D01054,319,8
D010545488164,D01054,319,8
D010545489001,D01054,319,8
D010545489009,D01054,319,8
D010545489016,D01054,319,8
D010545489017,D01054,319,8
D010545489018,D01054,319,8
D010545489022,D01054,319,8
D010545489027,D01054,319,8
D010545489034,D01054,319,8
D010545489048,D01054,319,8
D010545489055,D01054,319,8
D010545489062,D01054,319,8
D010545489065,D01054,319,8
D010545489068,D01054,319,8
D010545489073,D01054,319,8
D010545489076,D01054,319,8
D010545489077,D01054,319,8
D010545489086,D01054,319,8
D010545489088,D01054,319,8
D010545489109,D01054,319,8
D010545489110,D01054,319,8
D010545489124,D01054,319,8
D010545489125,D01054,319,8
D010545489126,D01054,319,8
D010545489131,D01054,319,8
D010545489136,D01054,319,8
D010545489142,D01054,319,8
D010545489154,D01054,319,8
D010545489165,D01054,319,8
D010545489166,D01054,319,8
D010545489167,D01054,319,8
D010545492007,D01054,319,8
D010545492023,D01054,319,8
D010545492026,D01054,319,8
D010545492032,D01054,319,8
D010545492042,D01054,319,8
D010545492043,D01054,319,8
